	Ceramide Profile;  Cer																																																																																																																																																																																																																																								
	Data are expressed as normalized intensities and constitute relative abundances per mg tissue (relative to exactly measured internal standards).  																																																																																																																																																																																																																																								
	The data can be used for direct comparison of individual metabolites between different samples as well as of different metabolites within the same sample.																																																																																																																																																																																																																																								
	ND = not detected																																																																																																																																																																																																																																								
																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																									
		Normalized Intensities  (UNIT = Intensity / mg tissue)																																																																																																																																																																																																																																							
Sample ID		Cer t28:0_14.00	Cer d29:1_12.63	Cer d30:1_13.91 | d14:1/n16:0	Cer t31:0_19.25	Cer t31:0_19.73	Cer t31:1_16.46	Cer t31:2_15.25	Cer d32:0_19.14 | d16:0/n16:0	Cer t32:0_15.55 | t16:0/n16:0	Cer d32:1_17.60 | d16:1/n16:0	Cer d32:1_17.60 | d16:0/n16:1	Cer d32:2_14.76	Cer t32:2_16.35	Cer d32:3_14.07 | d18:3/n14:0	Cer t32:3_15.27	Cer m32:4_15.59	Cer d33:0_20.80 | d17:0/n16:0	Cer t33:0_16.96 | t17:0/n16:0	Cer t33:0_23.37	Cer d33:1_17.94 | d19:1/n14:0	Cer d33:1_19.21 | d17:1/n16:0	Cer d33:1_19.73	Cer m33:2_16.62	Cer d33:2_16.50 | d19:2/n14:0	Cer d33:2_16.50 | d20:2/n13:0	Cer d33:2_16.96 | d19:2/n14:0	Cer d33:2_17.73 | d18:2/n15:0	Cer t33:2_19.42	Cer d33:3_15.25 | d19:3/n14:0	Cer t33:3_16.53	Cer t33:3_17.28	Cer m34:0_25.73	Cer d34:0_23.51 | d18:0/n16:0	Cer t34:0_19.69 | t18:0/n16:0	Cer m34:1_22.80	Cer d34:1_20.14	Cer d34:1_21.19	Cer d34:1_21.46	Cer d34:1_21.94 | d18:1/n16:0	Cer d34:2_18.60 | d20:2/n14:0	Cer d34:2_18.60 | d14:0/n20:2	Cer d34:2_18.60 | d16:1/n18:1	Cer d34:2_19.94 | d18:2/n16:0	Cer d34:2_19.94 | d16:0/n18:2	Cer t34:2_16.62 | d20:2/h14:0	Cer t34:2_19.64	Cer t34:2_20.73 | n16:2_t18:0	Cer d34:3_15.67 | d20:3/n14:0	Cer d34:3_16.28 | d20:3/n14:0	Cer d34:3_17.21	Cer d34:3_17.76 | d18:3/n16:0	Cer d34:3_17.76 | d16:0/n18:3	Cer t34:3_20.82	Cer d34:4_15.19 | d18:4/n16:0	Cer t34:4_19.37	Cer m35:1_24.91	Cer d35:1_22.30 | d20:1/n15:0	Cer d35:1_23.26 | d19:1/n16:0	Cer d35:1_23.53	Cer d35:1_24.05 | d19:1/n16:0	Cer m35:2_20.89	Cer d35:2_20.55 | d13:0/n22:2	Cer d35:2_20.83 | d20:2/n15:0	Cer d35:2_20.83 | d15:0/n20:2	Cer d35:2_20.83 | d17:1/n18:1	Cer d35:2_21.35 | d19:2/n16:0	Cer t35:2_18.73 | h15:0_d20:2	Cer t35:2_22.85	Cer d35:3_17.75 | d20:3/n15:0	Cer d35:3_19.37 | d19:3/n16:0	Cer t35:3_17.25	Cer t35:3_17.80	Cer d35:4_16.08	Cer d35:4_16.51	Cer d35:4_17.23	Cer d36:0_26.39 | d20:0/n16:0	Cer t36:0_27.35	Cer m36:1_26.10	Cer d36:1_24.33 | d20:1/n16:0	Cer d36:1_25.08 | d20:1/n16:0	Cer d36:1_25.66 | d20:1/n16:0	Cer t36:1_20.98 | t20:1/n16:0	Cer m36:2_19.33	Cer d36:2_22.64 | d14:0/n22:2	Cer d36:2_22.64 | d20:2/n16:0	Cer d36:2_22.64 | d18:1/n18:1	Cer d36:2_22.64 | d16:0/n20:2	Cer d36:2_22.94 | d20:2/n16:0	Cer d36:2_22.94 | d18:1/n18:1	Cer d36:2_22.94 | d16:0/n20:2	Cer t36:2_18.64	Cer t36:2_20.91 | d20:2/h16:0	Cer t36:2_24.82 | t18:0_n18:2	Cer d36:3_19.57 | d20:2/n16:1	Cer d36:3_19.98 | d20:3/n16:0	Cer d36:3_20.76 | d20:3/n16:0	Cer d36:3_21.60 | d19:3/n17:0	Cer t36:3_17.83 | h16:0_d20:3	Cer t36:3_18.53 | d20:3/h16:0	Cer m36:4_22.30	Cer t36:4_17.80	Cer t36:4_19.42	Cer m36:5_20.39	Cer m36:5_20.85	Cer m36:5_21.35	Cer m36:6_19.42	Cer d36:6_14.48	Cer m37:1_22.98	Cer d37:1_25.69	Cer d37:1_26.62	Cer t37:1_22.64	Cer d37:2_24.17 | d20:2/n17:0	Cer d37:2_24.62 | d15:0/n22:2	Cer d37:2_24.62 | d20:2/n17:0	Cer d37:2_24.94 | d20:2/n17:0	Cer d37:2_24.94 | d19:1/n18:1	Cer d37:2_24.94 | d18:1/n19:1	Cer d37:2_24.94 | d17:0/n20:2	Cer t37:2_20.85	Cer t37:2_22.67	Cer t37:2_22.98	Cer d37:3_21.62	Cer d37:3_22.03	Cer d37:3_22.85	Cer d37:3_23.73 | d19:3/n18:0	Cer t37:3_19.41	Cer t37:3_20.80	Cer t37:3_22.83	Cer d37:4_18.64	Cer d37:4_20.10	Cer d37:4_20.37	Cer t37:4_19.42	Cer t37:4_21.17	Cer d37:6_20.92	Cer t37:6_15.16	Cer t37:7_19.37	Cer m38:1_27.35	Cer d38:1_26.57 | d16:0/n22:1	Cer d38:1_27.28 | d16:1/n22:0	Cer t38:1_24.62 | t16:0/n22:1	Cer d38:2_25.71	Cer d38:2_25.96 | d16:0/n22:2	Cer d38:2_25.96 | d16:1/n22:1	Cer t38:2_22.98	Cer d38:3_23.66	Cer d38:3_24.23	Cer d38:3_24.83 | d18:2/n20:1	Cer t38:3_22.66	Cer t38:3_22.98	Cer t38:3_24.57	Cer m38:4_25.69	Cer d38:4_20.30	Cer m38:5_24.19	Cer m38:5_24.62	Cer m38:5_24.94	Cer d38:5_19.41	Cer m39:1_25.92	Cer d39:1_27.17	Cer t39:1_25.89 | t17:0/n22:1	Cer t39:1_27.71	Cer d39:2_26.67	Cer d39:3_25.28	Cer d39:3_25.78	Cer d39:3_26.50	Cer d39:4_22.98	Cer d39:4_24.14 | d19:3/n20:1	Cer t39:5_22.32	Cer t39:5_25.94	Cer d40:1_27.66	Cer t40:1_26.73	Cer d40:2_27.28	Cer d40:2_27.28 | d16:0/n24:2	Cer d40:2_27.28 | d18:1/n22:1	Cer d40:3_26.32 | d20:2/n20:1	Cer d40:3_26.32 | d18:2/n22:1	Cer d40:3_26.32 | d20:1/n20:2	Cer d40:3_26.76 | d18:2/n22:1	Cer d40:4_25.64 | d19:3/n21:1	Cer m40:5_26.73	Cer t40:7_20.19	Cer m41:1_27.30	Cer d41:2_27.62	Cer d41:2_27.89 | d20:2/n21:0	Cer d41:3_27.01 | d20:2/n21:1	Cer d41:3_27.01 | d19:2/n22:1	Cer d41:3_27.64 | d19:3/n22:0	Cer t41:3_27.62	Cer t41:5_26.64	Cer d42:0_28.96 | d18:0_n24:0	Cer t42:0_28.46 | t18:0/n24:0	Cer t42:1_28.37 | d18:1_h24:0	Cer t42:1_28.80	Cer d42:2_27.85 | d20:1/n22:1	Cer d42:3_27.50 | d20:2/n22:1	Cer t42:3_26.98 | d20:2/h22:1	Cer t42:3_27.87	Cer d42:4_26.62 | d20:2/n22:2	Cer d42:4_26.62 | d20:3/n22:1	Cer d42:4_27.03 | d20:3/n22:1	Cer d42:4_27.03 | d19:3/n23:1	Cer d42:4_27.03 | d18:3/n24:1	Cer m42:5_27.76	Cer t42:5_27.62	Cer m42:6_27.05	Cer d43:2_28.53 | d20:2/n23:0	Cer d43:3_27.87 | d20:2/n23:1	Cer d43:4_27.23	Cer t43:4_27.16	Cer d44:0_29.53 | d20:0_n24:0	Cer t44:0_29.05	Cer d44:2_28.83 | d20:2/n24:0	Cer d44:3_28.17 | d20:2/n24:1	Cer d44:4_27.75	Cer t45:0_29.30	Cer m45:2_28.19	Cer d46:0_30.12 | d20:0_n26:0	Cer t46:0_29.58 | t20:0/n26:0	Cer d47:0_30.42	Cer d48:0_30.71	Cer t48:0_30.17 | t20:0/n28:0	Cer t48:7_27.67	Cer1P d21:0_6.74	Cer1P d22:0_7.92	Cer1P d23:0_8.61	Cer1P d23:1_7.50	Cer1P t26:2_8.05	Cer1P d27:1_10.15	Cer1P t28:3_7.95	Cer1P m36:0_19.41	Cer1P t37:2_13.38	Cer1P m38:7_19.39	Cer1P m40:6_20.76
JWL0157		ND	0.04	1.10	ND	0.23	ND	0.12	ND	ND	0.31	ND	1.33	ND	0.07	ND	ND	ND	ND	ND	ND	0.12	0.38	0.18	3.44	1.65	ND	ND	0.90	0.25	ND	ND	ND	0.05	ND	ND	16.05	ND	ND	1.60	305.03	3.94	ND	ND	ND	1.40	ND	ND	2.91	3.57	0.32	0.90	ND	ND	ND	ND	0.05	0.76	ND	ND	0.31	0.10	ND	21.15	17.15	14.14	ND	0.11	3.69	0.61	2.83	ND	ND	ND	ND	ND	0.04	ND	1.04	16.60	ND	1.22	1.71	ND	ND	ND	ND	ND	353.59	2.95	2.08	0.08	ND	ND	0.76	10.80	1.14	ND	ND	ND	ND	ND	ND	0.46	1.95	ND	0.28	0.04	1.05	0.12	ND	ND	1.05	ND	1.80	5.07	0.04	0.04	ND	0.06	ND	0.07	0.11	0.20	0.87	ND	ND	0.04	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.06	ND	ND	1.60	2.04	ND	0.08	0.43	ND	ND	ND	0.05	ND	ND	ND	ND	0.42	1.03	ND	ND	ND	ND	ND	0.03	ND	ND	ND	0.05	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.04	ND	ND	ND	ND	ND	ND	0.04	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
JWL0159		0.07	0.15	1.96	ND	0.25	1.93	0.14	ND	ND	0.58	ND	8.32	1.93	0.17	ND	ND	ND	ND	ND	0.17	ND	0.45	0.41	15.56	0.11	ND	ND	0.59	0.89	ND	ND	0.08	0.16	0.24	0.52	30.59	1.64	ND	0.96	445.39	5.19	ND	ND	ND	2.34	2.21	0.81	9.86	16.33	0.92	1.98	ND	0.06	0.07	ND	0.12	1.40	ND	0.08	0.37	0.10	ND	33.39	25.55	21.20	ND	0.07	3.35	1.09	5.18	ND	ND	ND	ND	ND	0.09	ND	ND	21.02	ND	1.89	1.91	ND	ND	ND	ND	ND	379.50	3.28	2.40	ND	0.83	ND	3.94	19.55	2.42	ND	ND	ND	0.09	ND	ND	0.20	0.45	ND	0.18	ND	ND	0.16	ND	ND	1.04	ND	3.72	6.46	0.03	0.03	0.02	ND	ND	ND	0.21	0.39	1.37	0.43	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.11	ND	ND	1.62	3.48	ND	ND	0.88	0.09	0.13	ND	ND	ND	ND	ND	0.07	0.25	0.29	ND	ND	ND	ND	ND	0.09	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.05	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.11	ND	ND	0.35	ND	ND	ND	ND	ND	ND	ND	0.20
