	Lyso-Phosphatidylcholine Profile;  LPC																													
	Data are expressed as normalized intensities and constitute relative abundances per mg tissue (relative to exactly measured internal standards).  																													
	The data can be used for direct comparison of individual metabolites between different samples as well as of different metabolites within the same sample.																													
	ND = not detected		
																												
																														
		Normalized Intensities  (UNIT = Intensity / mg tissue)																												
Sample ID		LPC 13:0_5.08	LPC 14:0_5.50	LPC 15:0_6.00	LPC 16:0_6.54	LPC 16:1_5.74	LPC 16:1_6.00	LPC 17:0_6.00	LPC 17:0_7.05	LPC 17:1_6.25	LPC 17:1_6.57	LPC 18:0_7.53	LPC 18:0_7.79	LPC 18:1_6.79	LPC 18:2_6.05	LPC 18:3_5.53	LPC 18:4_5.04	LPC 19:0_6.75	LPC 19:0_7.16	LPC 19:1_7.37	LPC 20:0_8.07	LPC 20:1_7.98	LPC 20:2_7.12	LPC 20:3_6.12	LPC 20:3_6.44	LPC 20:4_5.95	LPC 20:5_5.49	LPC 21:7_5.98	LPC 22:1_9.24	LPC 22:5_6.25
JWL0157		ND	12.43	3.47	51.43	9.25	0.92	0.37	2.58	1.90	0.23	0.70	2.83	42.51	6.31	3.88	3.02	ND	ND	0.37	0.58	2.81	0.76	0.14	0.61	2.23	36.58	ND	0.55	0.24
JWL0159		ND	45.19	8.54	136.77	35.12	1.73	0.88	9.71	5.37	ND	3.66	16.10	136.10	18.99	15.25	38.42	ND	ND	1.42	6.54	12.11	2.49	ND	1.66	1.20	35.35	ND	5.85	ND
JWL0166		0.16	36.49	4.90	57.80	13.50	1.11	0.50	1.97	1.66	0.13	0.29	2.25	17.43	4.10	2.32	1.52	0.07	ND	0.15	0.19	0.97	1.17	0.11	1.13	1.40	16.97	ND	0.17	0.19
JWL0167		0.13	9.76	3.28	22.63	1.48	0.66	0.93	1.15	1.24	ND	ND	1.20	6.40	1.54	0.37	0.25	0.13	ND	ND	0.19	0.39	0.70	0.20	0.43	0.21	2.10	ND	ND	ND
JWL0168		ND	1.79	0.44	4.21	1.89	0.27	0.14	0.18	0.28	ND	ND	0.20	7.15	0.16	0.11	ND	ND	ND	0.08	ND	0.26	0.30	ND	0.35	0.28	1.91	1.38	0.09	0.08
JWL0169		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
