	Plasmenyl Phosphatidylcholine  Profile; P-PC																																	
	Data are expressed as normalized intensities and constitute relative abundances per mg tissue (relative to exactly measured internal standards).  																																	
	The data can be used for direct comparison of individual metabolites between different samples as well as of different metabolites within the same sample.																																	
	ND = not detected																																	
																																		
																																		
		Normalized Intensities  (UNIT = Intensity / mg tissue)																																
Sample ID		P-PC 29:0_18.55	P-PC 33:0_16.92	P-PC 33:1_23.07	P-PC 35:0_26.89	P-PC 35:1_26.01	P-PC 35:2_24.60	P-PC 35:3_14.19	P-PC 35:4_12.57	P-PC 37:1_21.80	P-PC 37:1_26.80	P-PC 37:2_26.62	P-PC 37:4_15.42	P-PC 37:5_13.00	P-PC 37:5_13.66	P-PC 37:7_24.85	P-PC 39:1_25.37	P-PC 39:5_15.99	P-PC 39:5_17.05	P-PC 39:5_21.00	P-PC 39:6_14.18	P-PC 39:8_25.83	P-PC 40:6_20.08 | P-18:0/22:6	P-PC 40:6_20.08 | P-22:6/18:0	P-PC 40:6_21.71 | P-18:0/22:6	P-PC 40:6_21.71 | P-22:6/18:0	P-PC 40:7_18.42	P-PC 41:6_17.66	P-PC 41:7_14.99	P-PC 41:8_13.24	P-PC 41:9_11.91	P-PC 43:6_21.69	P-PC 43:9_14.60	P-PC 43:10_12.88
JWL0157		3.02	1.26	ND	ND	5.43	ND	ND	1.29	0.88	ND	ND	8.69	1.73	1.51	ND	2.06	6.90	3.11	ND	1.13	19.88	3.77	1.05	10.62	2.19	ND	1.94	ND	1.26	3.64	ND	ND	5.63
JWL0159		5.46	ND	ND	7.33	ND	5.71	ND	6.22	2.61	14.56	21.27	10.72	6.88	3.36	ND	12.16	12.53	13.39	ND	2.65	8.92	18.58	4.02	25.12	7.55	ND	7.56	ND	6.16	13.51	ND	ND	13.05
JWL0166		0.79	ND	0.76	0.75	ND	ND	ND	ND	ND	3.38	ND	0.76	0.51	2.36	ND	ND	0.58	2.62	0.44	0.97	ND	ND	ND	8.80	ND	0.53	0.48	ND	0.45	0.71	ND	ND	2.64
JWL0167		ND	ND	ND	ND	ND	2.43	ND	ND	ND	5.04	2.64	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
JWL0168		0.19	ND	ND	ND	ND	3.95	ND	0.30	ND	2.73	1.69	0.29	0.33	1.04	4.16	ND	1.12	1.00	0.20	0.66	2.32	ND	ND	ND	ND	ND	1.55	ND	ND	0.32	ND	ND	1.57
JWL0169		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
JWL0170		0.16	ND	ND	0.68	ND	ND	ND	0.42	0.34	ND	ND	0.37	0.47	0.71	1.25	ND	2.57	1.71	0.35	0.81	1.08	ND	ND	ND	ND	ND	18.41	0.28	ND	0.20	0.18	ND	ND
JWL0171		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.21	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
JWL0172		0.60	0.65	ND	0.30	1.41	ND	ND	0.35	ND	3.60	2.26	1.09	0.48	0.29	0.09	ND	1.16	2.19	ND	0.42	0.60	3.78	ND	ND	ND	ND	4.62	ND	0.25	0.78	ND	ND	ND
JWL0173		0.37	ND	ND	ND	ND	ND	ND	0.20	ND	2.93	2.26	0.39	0.13	0.17	ND	0.41	0.50	0.74	0.11	0.13	0.10	1.50	0.33	0.88	0.34	0.14	0.54	0.14	ND	0.32	ND	ND	0.42
JWL0174		ND	ND	ND	0.16	ND	ND	0.13	0.23	ND	ND	ND	0.46	0.22	0.20	ND	ND	0.41	ND	ND	0.27	0.33	2.92	0.68	1.53	ND	ND	ND	ND	0.12	0.27	ND	ND	ND
JWL0175		0.23	0.38	ND	0.49	ND	ND	ND	0.17	0.49	ND	ND	0.49	0.08	0.32	0.14	1.14	1.40	3.69	ND	0.14	0.68	2.42	ND	2.29	ND	0.41	1.90	ND	0.12	0.28	0.16	0.14	ND
