feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,fullname,-crd1PtefM2-OLE1-wholeCell-trial1,-crd1PtefM2-OLE1-wholeCell-trial2,-crd1PtefM2-OLE1-wholeCell-trial3,-crd1PtefM3-OLE1-wholeCell-trial1,-crd1PtefM3-OLE1-wholeCell-trial2,-crd1PtefM3-OLE1-wholeCell-trial3,fad2-Lkluyveri-0bar-A,fad2-Lkluyveri-0bar-B,fad2-Lkluyveri-0bar-C,fad2-Lkluyveri-250bar-A,fad2-Lkluyveri-250bar-B,fad2-Lkluyveri-250bar-C,FM628-Lkluyveri-0bar-A,FM628-Lkluyveri-0bar-B,FM628-Lkluyveri-0bar-C,FM628-Lkluyveri-250bar-A,FM628-Lkluyveri-250bar-B,FM628-Lkluyveri-250bar-C,PtefM1-OLE1-wholeCell-trial1,PtefM1-OLE1-wholeCell-trial2,PtefM1-OLE1-wholeCell-trial3,PtefM2-OLE1-wholeCell-trial1,PtefM2-OLE1-wholeCell-trial2,PtefM2-OLE1-wholeCell-trial3,PtefM3-OLE1-wholeCell-trial1,PtefM3-OLE1-wholeCell-trial2,PtefM3-OLE1-wholeCell-trial3,PtefM4-OLE1-wholeCell-trial1,PtefM4-OLE1-wholeCell-trial2,PtefM4-OLE1-wholeCell-trial3,wildtype-isolatedMitoplasts-trial1,wildtype-isolatedMitoplasts-trial2,wildtype-isolatedMitoplasts-trial3,wildtype-wholeCell-trial1,wildtype-wholeCell-trial2,wildtype-wholeCell-trial3
,,,,,,,shortname,a10,a11,a12,a13,a14,a15,d1,d2,d3,d7,d8,d9,d4,d5,d6,d10,d11,d12,a16,a17,a18,a4,a5,a6,a7,a8,a9,a19,a20,a21,c1,c2,c3,a1,a2,a3
,,,,,,,cohort,Disease5-Cells,Disease5-Cells,Disease5-Cells,Disease4-Cells,Disease4-Cells,Disease4-Cells,Healthy4,Healthy4,Healthy4,Disease6,Disease6,Disease6,Healthy5,Healthy5,Healthy5,Disease6,Disease6,Disease6,Disease7-Cells,Disease7-Cells,Disease7-Cells,Disease1-Cells,Disease1-Cells,Disease1-Cells,Disease2-Cells,Disease2-Cells,Disease2-Cells,Disease8-Cells,Disease8-Cells,Disease8-Cells,Healthy3,Healthy3,Healthy3,Healthy1,Healthy1,Healthy1
Cer 32:0;2,Cer,SL,MEM,32,0,2,,0.903222978115082,6.9091100692749,3.30892992019653,10.2596998214722,0.902312994003296,0.543559014797211,0.595444023609161,1.04601001739502,1.47316002845764,NA,0.852303981781006,NA,NA,NA,0.776202023029327,0.969702005386353,0.827870011329651,NA,6.3211498260498,2.77311992645264,3.79519009590149,12.1925001144409,9.34906959533691,7.41192007064819,7.86750984191895,7.00816011428833,6.1244797706604,4.38278007507324,4.99716997146606,3.48836994171143,NA,NA,NA,4.6618800163269,6.23147010803223,4.83352994918823
Cer 34:0;2,Cer,SL,MEM,34,0,2,,3.81557989120483,6.60232019424438,2.69791007041931,13.2435998916626,2.75079011917114,2.38520002365112,1.24660003185272,1.65916001796722,2.19377994537354,0.459843993186951,1.08597004413605,0.808147013187408,1.29736995697021,1.23019003868103,1.298220038414,1.39444994926453,1.0796400308609,0.447912991046906,5.94786977767944,2.22284007072449,3.48881006240845,16.5013008117676,11.4070997238159,7.25913000106812,7.48016023635864,5.41445016860962,4.34891986846924,2.42458009719849,3.15378999710083,2.4465799331665,NA,0.715378999710083,0.454124987125397,2.95637011528015,5.38335990905762,3.60143995285034
Cer 34:0;3,Cer,SL,MEM,34,0,3,,0.181407004594803,0.266566008329391,0.176469996571541,NA,NA,0.135801002383232,0.300287008285522,0.212102994322777,0.348327994346619,NA,NA,NA,0.226922005414963,0.328393012285233,0.255849987268448,NA,NA,NA,NA,NA,NA,0.483824014663696,0.340856999158859,0.235712006688118,0.252425998449326,0.246166005730629,0.29544198513031,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cer 36:0;2,Cer,SL,MEM,36,0,2,,1.73904001712799,3.23635005950928,1.51126003265381,6.0226001739502,1.41139996051788,1.51348996162415,2.59090995788574,4.08887004852295,4.49464988708496,1.16700994968414,3.99853992462158,3.17131996154785,3.76051998138428,3.13815999031067,2.43950009346008,5.9382700920105,5.70807981491089,2.68523001670837,2.67079997062683,0.975350975990295,1.9428299665451,7.38997983932495,5.25542020797729,3.39379000663757,4.59602022171021,3.0578498840332,2.85046005249023,1.31505000591278,1.76645994186401,1.67483997344971,NA,0.389553010463715,0.272132009267807,1.46536004543304,3.75575995445251,2.41781997680664
Cer 36:0;3,Cer,SL,MEM,36,0,3,,NA,NA,NA,NA,NA,NA,4.54995012283325,3.79798007011414,5.33296012878418,0.222682997584343,0.404924005270004,0.314568012952805,4.3879599571228,5.34068012237549,3.99660992622375,0.531247973442078,0.462271004915237,0.381727993488312,NA,NA,NA,0.393447995185852,0.24974699318409,NA,0.324045985937119,NA,0.284588009119034,NA,NA,NA,NA,NA,NA,NA,NA,0.163698002696037
Cer 38:0;2,Cer,SL,MEM,38,0,2,,0.282573997974396,0.496237993240356,0.232467994093895,NA,NA,0.228121995925903,0.354252010583878,0.333512008190155,0.523141026496887,0.259193003177643,0.365094989538193,NA,0.416664987802505,0.43112900853157,0.369302988052368,0.451241999864578,0.306340992450714,0.311120003461838,0.384669989347458,0.171259999275208,0.301564991474152,0.722374975681305,0.64553302526474,0.406143009662628,0.403248995542526,0.355724990367889,0.354701995849609,NA,0.215296000242233,0.205908998847008,NA,0.206796005368233,0.128751993179321,0.272417992353439,0.456959992647171,0.314781993627548
Cer 38:0;3,Cer,SL,MEM,38,0,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.251051992177963,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cer 40:0;2,Cer,SL,MEM,40,0,2,,0.432689011096954,0.536579012870789,0.310930013656616,NA,0.412652999162674,0.408760011196136,0.322600990533829,0.403555989265442,0.430833995342255,NA,NA,NA,0.359239012002945,0.387977987527847,0.341426998376846,NA,NA,NA,0.306869000196457,0.257400006055832,0.260636985301971,0.585891008377075,0.698184013366699,0.61048299074173,0.609772026538849,0.612743973731995,0.530910015106201,NA,0.217105001211166,0.185773000121117,NA,NA,NA,0.260747998952866,0.292133986949921,0.296317994594574
Cer 42:0;2,Cer,SL,MEM,42,0,2,,4.40215015411377,6.85253000259399,3.3782000541687,6.98386001586914,4.33137989044189,4.14576005935669,6.31158018112183,7.84125995635986,9.84377956390381,1.89709997177124,3.31690001487732,4.14993000030518,8.40662956237793,7.86626005172729,6.22891998291016,4.11761999130249,3.63094997406006,2.37035989761353,3.76782989501953,2.83443999290466,3.27585005760193,7.53844022750854,8.30161952972412,6.81679010391235,5.42092990875244,5.67417001724243,4.49624013900757,3.23917007446289,2.77413988113403,2.64931988716125,0.324993997812271,0.316536992788315,0.494098007678986,4.40143013000488,4.38790988922119,4.70529985427856
Cer 42:0;3,Cer,SL,MEM,42,0,3,,2.43411993980408,2.69003009796143,1.1914199590683,1.54615998268127,0.812366008758545,1.12788999080658,4.51325988769531,4.16928005218506,5.97376012802124,1.56537997722626,2.02991008758545,2.60496997833252,4.75073003768921,4.94377994537354,4.21576023101807,2.59279990196228,2.04612994194031,1.81919002532959,1.96460998058319,1.4352799654007,1.42421996593475,1.6125500202179,1.72733998298645,1.38191998004913,1.3304899930954,1.2109500169754,1.34280002117157,0.969911992549896,0.826542019844055,0.715059995651245,0.216648995876312,0.376192003488541,0.287184000015259,1.09255003929138,0.980171024799347,0.883285999298096
Cer 42:0;4,Cer,SL,MEM,42,0,4,,0.780089974403381,1.01813995838165,0.521269023418427,0.876244008541107,0.801379024982452,0.755326986312866,0.598145008087158,0.675768971443176,0.795984983444214,NA,NA,NA,0.699912011623383,0.835294008255005,0.620859980583191,NA,NA,NA,0.572014987468719,0.508580029010773,0.47952800989151,1.17467999458313,1.21782004833221,1.0894900560379,0.951053023338318,1.06992995738983,0.86962902545929,0.39436599612236,0.301634013652802,0.311857014894485,NA,NA,NA,0.509760975837708,0.478285014629364,0.461412996053696
Cer 44:0;2,Cer,SL,MEM,44,0,2,,1.41997003555298,2.31388998031616,1.15530002117157,1.94672000408173,1.02416002750397,1.14271998405457,3.78814005851746,3.62339997291565,5.12018013000488,1.54814004898071,2.86744999885559,3.13324999809265,3.67938995361328,4.86348009109497,3.25469994544983,3.72121000289917,3.06330990791321,1.97968995571136,1.40778005123138,1.22420001029968,1.25211000442505,2.0927300453186,2.01149988174438,1.80545997619629,1.34606003761292,1.42638003826141,1.19628000259399,0.880182027816772,0.793983995914459,0.81010901927948,0.663470983505249,0.667057991027832,1.03742003440857,1.64635002613068,1.49785995483398,1.67193996906281
Cer 44:0;3,Cer,SL,MEM,44,0,3,,0.683053016662598,1.00124001502991,1.64945995807648,NA,0.820113003253937,0.828391015529633,2.09754991531372,2.23232007026672,3.71759009361267,1.43771004676819,3.03557991981506,3.26935005187988,3.21970009803772,2.76748991012573,2.06960010528564,3.39269995689392,3.37614011764526,3.06903004646301,0.595144987106323,0.47163599729538,0.505455017089844,1.50890004634857,1.47857999801636,1.18247997760773,3.24130988121033,2.55890011787415,3.56225991249084,1.74908995628357,2.05559992790222,1.78225994110107,0.335972994565964,0.367058008909225,0.531211972236633,3.92840003967285,2.403559923172,2.66499996185303
