feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,fullname,-crd1PtefM2-OLE1-wholeCell-trial1,-crd1PtefM2-OLE1-wholeCell-trial2,-crd1PtefM2-OLE1-wholeCell-trial3,-crd1PtefM3-OLE1-wholeCell-trial1,-crd1PtefM3-OLE1-wholeCell-trial2,-crd1PtefM3-OLE1-wholeCell-trial3,fad2-Lkluyveri-0bar-A,fad2-Lkluyveri-0bar-B,fad2-Lkluyveri-0bar-C,fad2-Lkluyveri-250bar-A,fad2-Lkluyveri-250bar-B,fad2-Lkluyveri-250bar-C,FM628-Lkluyveri-0bar-A,FM628-Lkluyveri-0bar-B,FM628-Lkluyveri-0bar-C,FM628-Lkluyveri-250bar-A,FM628-Lkluyveri-250bar-B,FM628-Lkluyveri-250bar-C,PtefM1-OLE1-wholeCell-trial1,PtefM1-OLE1-wholeCell-trial2,PtefM1-OLE1-wholeCell-trial3,PtefM2-OLE1-wholeCell-trial1,PtefM2-OLE1-wholeCell-trial2,PtefM2-OLE1-wholeCell-trial3,PtefM3-OLE1-wholeCell-trial1,PtefM3-OLE1-wholeCell-trial2,PtefM3-OLE1-wholeCell-trial3,PtefM4-OLE1-wholeCell-trial1,PtefM4-OLE1-wholeCell-trial2,PtefM4-OLE1-wholeCell-trial3,wildtype-isolatedMitoplasts-trial1,wildtype-isolatedMitoplasts-trial2,wildtype-isolatedMitoplasts-trial3,wildtype-wholeCell-trial1,wildtype-wholeCell-trial2,wildtype-wholeCell-trial3
,,,,,,,shortname,a10,a11,a12,a13,a14,a15,d1,d2,d3,d7,d8,d9,d4,d5,d6,d10,d11,d12,a16,a17,a18,a4,a5,a6,a7,a8,a9,a19,a20,a21,c1,c2,c3,a1,a2,a3
,,,,,,,cohort,Disease5-Cells,Disease5-Cells,Disease5-Cells,Disease4-Cells,Disease4-Cells,Disease4-Cells,Healthy4,Healthy4,Healthy4,Disease6,Disease6,Disease6,Healthy5,Healthy5,Healthy5,Disease6,Disease6,Disease6,Disease7-Cells,Disease7-Cells,Disease7-Cells,Disease1-Cells,Disease1-Cells,Disease1-Cells,Disease2-Cells,Disease2-Cells,Disease2-Cells,Disease8-Cells,Disease8-Cells,Disease8-Cells,Healthy3,Healthy3,Healthy3,Healthy1,Healthy1,Healthy1
Cer 32:0;2,Cer,SL,MEM,32,0,2,,0.00889536187952092,0.0764189124078527,0.0635020082987703,0.0970189203867652,0.0139645648812235,0.00891035296570859,0.00718931045383543,0.0138001736892946,0.0148998357765412,NA,0.0111407853095325,NA,NA,NA,0.0105997099366213,0.01036259245715,0.0100635127200199,NA,0.104674069634277,0.0523304300858839,0.0751097128581882,0.140234256548905,0.11142268670005,0.097539056162732,0.114499009542506,0.110476967957941,0.115926406048114,0.0924003015909636,0.0985316535558981,0.0646192195708028,NA,NA,NA,0.0570672785555633,0.0823034631617747,0.0693435450238349
Cer 34:0;2,Cer,SL,MEM,34,0,2,,0.0375776134297655,0.073025631890897,0.0517758646489943,0.125235609801595,0.0425723527745779,0.0390996626419248,0.0150512798607464,0.0218895575047193,0.0221883300418879,0.0111387896781849,0.0141951221312161,0.00946256568574059,0.0149433539302086,0.0135564738244258,0.0177283174132849,0.014901605282712,0.0131240062267276,0.00626190333848428,0.0984927983701183,0.0419463203893774,0.0690462178132376,0.189792711068937,0.135950394391857,0.095528376199129,0.108861756196215,0.085353648893922,0.0823179550625755,0.0511163983533543,0.0621848256426685,0.0453209059074861,NA,0.0245528669325916,0.0155713579798079,0.036189690916791,0.0711018678225852,0.0516675423854687
Cer 34:0;3,Cer,SL,MEM,34,0,3,,0.00178658093566026,0.00294838036117328,0.00338665352758645,NA,NA,0.00222613337538531,0.00362562464685196,0.00279830796359227,0.00352305914624252,NA,NA,NA,0.00261373081999489,0.00361883216022642,0.00349385285257281,NA,NA,NA,NA,NA,NA,0.00556478985934222,0.00406235104354555,0.00310191238429963,0.0036736562630313,0.0038805725731052,0.00559223457573509,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cer 36:0;2,Cer,SL,MEM,36,0,2,,0.0171268785783157,0.0357959779536041,0.029002743923172,0.056951585033211,0.0218434029577283,0.0248100563158889,0.0312822957433873,0.0539451017908001,0.0454597897695681,0.0282684531590608,0.0522664164477049,0.0371328767624707,0.0433143844140493,0.0345819608579496,0.0333134836213387,0.0634585393473223,0.0693869001632084,0.0375399935753673,0.0442266849857794,0.0184054557364743,0.038450090043467,0.0849971965513201,0.0626343651995742,0.0446614468190011,0.0668877159097133,0.0482040903959621,0.0539545564428046,0.0277246439639134,0.0348301578705464,0.0310250500373269,NA,0.0133700363485401,0.00933105434452417,0.0179378511682091,0.0496049962042364,0.0346869079500327
Cer 36:0;3,Cer,SL,MEM,36,0,3,,NA,NA,NA,NA,NA,NA,0.0549354812300305,0.0501073448288601,0.0539386275671075,0.00539404474506493,0.00529291368551676,0.0036832660847916,0.0505413573966197,0.0588533381080213,0.0545771650819218,0.00567711133099463,0.00561932437990977,0.00533662529240428,NA,NA,NA,0.00452531364180143,0.0029764973607331,NA,0.00471597051437247,NA,0.00538678652505371,NA,NA,NA,NA,NA,NA,NA,NA,0.00234846994631137
Cer 38:0;2,Cer,SL,MEM,38,0,2,,0.00278292075227187,0.00548869063579172,0.00446131675380789,NA,NA,0.00373951576113602,0.00427719077193154,0.00440007606423472,0.00529115318919945,0.00627842570790983,0.00477229366866446,NA,0.00479922658113611,0.00475096443259715,0.00504315170012733,0.00482213805702392,0.0037238533006406,0.00434951302437867,0.00636988117023241,0.00323177852248318,0.00596820168301088,0.00830852710382328,0.00769349541097483,0.00534474271875407,0.00586864351190543,0.00560766559579426,0.00671392985799746,NA,0.00424509693065627,0.00381429694396779,NA,0.00709754522295932,0.00441473918689129,0.00333473907495154,0.00603539602521139,0.00451597477977152
Cer 38:0;3,Cer,SL,MEM,38,0,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0047520044598453,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cer 40:0;2,Cer,SL,MEM,40,0,2,,0.00426132353611253,0.00593488657342642,0.00596708929586109,NA,0.00638638656268489,0.00670064496931099,0.00389504064480266,0.00532417725700903,0.0043575413760524,NA,NA,NA,0.00413778326918795,0.00427544791210783,0.00466248095206151,NA,NA,NA,0.00508154813271339,0.00485729192326759,0.00515820515746915,0.00673873194236297,0.00832099256370313,0.0080338069154519,0.00887425557619585,0.00965932502232583,0.0100492600663085,NA,0.00428076589084193,0.0034412939240222,NA,NA,NA,0.00319188366859193,0.00385842159496897,0.00425108366257091
Cer 42:0;2,Cer,SL,MEM,42,0,2,,0.0433544314279408,0.0757931028439051,0.0648313784360793,0.0660415578098947,0.0670342064309024,0.0679598432449632,0.0762051638394537,0.103450968481319,0.0995619593861769,0.0459534057139663,0.0433564452928111,0.0485913881735856,0.0968291582796778,0.0866847764445419,0.0850612895591193,0.044002402414627,0.0441374983386848,0.0331380532669593,0.0623927765761961,0.0534875763815489,0.0648315765417583,0.0867047406947259,0.0989391235706312,0.0897072912898958,0.078892955690299,0.0894478848884662,0.0851064873365099,0.0682900548642732,0.0546990779269625,0.0490764988697778,0.0252375230686211,0.0108640184661891,0.0169419811126906,0.0538790441607591,0.0579542505482296,0.0675039103358833
Cer 42:0;3,Cer,SL,MEM,42,0,3,,0.0239723504022239,0.0297533506297398,0.0228646607673039,0.0146209708739249,0.0125725085552385,0.0184890649423335,0.0544924883027826,0.0550059635401526,0.0604198071876517,0.0379181604872596,0.0265337168039354,0.0305015042153444,0.0547198121851474,0.0544795692664155,0.0575698520299357,0.0277076138419128,0.0248725698669264,0.0254326003501777,0.0325326447831203,0.0270845905965379,0.028186401730912,0.0185470372040712,0.0205865257270912,0.0181857291041491,0.0193631516803393,0.0190894734198928,0.0254170127626964,0.0204482449708146,0.016297334774221,0.0132459055769228,0.0168239538823125,0.0129114667980223,0.00984716762364794,0.0133741874972702,0.0129458167066914,0.0126719360602156
Cer 42:0;4,Cer,SL,MEM,42,0,4,,0.00768269053051056,0.0112612402347598,0.0100037264763355,0.00828603654915035,0.0124024695013737,0.0123817835218564,0.0072219217744187,0.00891552568777165,0.00805075165277786,NA,NA,NA,0.00806171967641191,0.00920479031902219,0.00847837999668485,NA,NA,NA,0.00947219070546347,0.00959720904867964,0.00949022584383996,0.0135107955035512,0.0145140412442796,0.0143374227935145,0.013841054079709,0.0168664265216779,0.0164606580953322,0.00831425176594514,0.00594746592643786,0.00577689787978025,NA,NA,NA,0.00624011589809357,0.00631705077613014,0.00661959545151997
Cer 44:0;2,Cer,SL,MEM,44,0,2,,0.0139845283284086,0.0255930147232039,0.022171479391032,0.0184087913270183,0.0158503193990162,0.0187321672931756,0.0457374897445747,0.0478040823132362,0.051786528014377,0.0375005581315927,0.0374815154052366,0.0366871168648653,0.0423799133228728,0.0535946792588524,0.044445742640382,0.0397662194089721,0.0372373172137677,0.0276764179441597,0.0233119086190727,0.0231013857132659,0.0247802140400799,0.0240699150550114,0.023973157845844,0.0237594119120572,0.0195897487500105,0.0224855224785137,0.0226436279522557,0.0185565060149308,0.0156553722328999,0.0150066115314093,0.0515220722976141,0.0228944183386229,0.0355717901220438,0.0201533963148163,0.0197833030532029,0.0239862472645539
