eid	strain	sp	press	prep	rep
-crd1PtefM2-OLE1-wholeCell-trial1	-crd1PtefM2-OLE1	Sacc_cere	0	wholecell	1
-crd1PtefM2-OLE1-wholeCell-trial2	-crd1PtefM2-OLE1	Sacc_cere	0	wholecell	2
-crd1PtefM2-OLE1-wholeCell-trial3	-crd1PtefM2-OLE1	Sacc_cere	0	wholecell	3
-crd1PtefM3-OLE1-wholeCell-trial1	-crd1PtefM3-OLE1	Sacc_cere	0	wholecell	1
-crd1PtefM3-OLE1-wholeCell-trial2	-crd1PtefM3-OLE1	Sacc_cere	0	wholecell	2
-crd1PtefM3-OLE1-wholeCell-trial3	-crd1PtefM3-OLE1	Sacc_cere	0	wholecell	3
fad2-Lkluyveri-0bar-A	fad2	Lach_kluy	0	wholecell	1
fad2-Lkluyveri-0bar-B	fad2	Lach_kluy	0	wholecell	2
fad2-Lkluyveri-0bar-C	fad2	Lach_kluy	0	wholecell	3
fad2-Lkluyveri-250bar-A	fad2	Lach_kluy	250	wholecell	1
fad2-Lkluyveri-250bar-B	fad2	Lach_kluy	250	wholecell	2
fad2-Lkluyveri-250bar-C	fad2	Lach_kluy	250	wholecell	3
FM628-Lkluyveri-0bar-A	FM628	Lach_kluy	0	wholecell	1
FM628-Lkluyveri-0bar-B	FM628	Lach_kluy	0	wholecell	2
FM628-Lkluyveri-0bar-C	FM628	Lach_kluy	0	wholecell	3
FM628-Lkluyveri-250bar-A	FM628	Lach_kluy	250	wholecell	1
FM628-Lkluyveri-250bar-B	FM628	Lach_kluy	250	wholecell	2
FM628-Lkluyveri-250bar-C	FM628	Lach_kluy	250	wholecell	3
PtefM1-OLE1-wholeCell-trial1	PtefM1-OLE1	Sacc_cere	0	wholecell	1
PtefM1-OLE1-wholeCell-trial2	PtefM1-OLE1	Sacc_cere	0	wholecell	2
PtefM1-OLE1-wholeCell-trial3	PtefM1-OLE1	Sacc_cere	0	wholecell	3
PtefM2-OLE1-wholeCell-trial1	PtefM2-OLE1	Sacc_cere	0	wholecell	1
PtefM2-OLE1-wholeCell-trial2	PtefM2-OLE1	Sacc_cere	0	wholecell	2
PtefM2-OLE1-wholeCell-trial3	PtefM2-OLE1	Sacc_cere	0	wholecell	3
PtefM3-OLE1-wholeCell-trial1	PtefM3-OLE1	Sacc_cere	0	wholecell	1
PtefM3-OLE1-wholeCell-trial2	PtefM3-OLE1	Sacc_cere	0	wholecell	2
PtefM3-OLE1-wholeCell-trial3	PtefM3-OLE1	Sacc_cere	0	wholecell	3
PtefM4-OLE1-wholeCell-trial1	PtefM4-OLE1	Sacc_cere	0	wholecell	1
PtefM4-OLE1-wholeCell-trial2	PtefM4-OLE1	Sacc_cere	0	wholecell	2
PtefM4-OLE1-wholeCell-trial3	PtefM4-OLE1	Sacc_cere	0	wholecell	3
wildtype-isolatedMitoplasts-trial1	wildtype	Sacc_cere	0	mitoplast	1
wildtype-isolatedMitoplasts-trial2	wildtype	Sacc_cere	0	mitoplast	2
wildtype-isolatedMitoplasts-trial3	wildtype	Sacc_cere	0	mitoplast	3
wildtype-wholeCell-trial1	wildtype	Sacc_cere	0	wholecell	1
wildtype-wholeCell-trial2	wildtype	Sacc_cere	0	wholecell	2
wildtype-wholeCell-trial3	wildtype	Sacc_cere	0	wholecell	3
