eid	id	rab	struc	class	tails	hydrox	carbon	dbonds	rt	hydrsn1	carbsn1	dbonsn1	hydrsn2	carbsn2	dbonsn2	hydrsn3	carbsn3	dbonsn3	stereo	annot	frac_molar
JWL0201	PC 28:0_13.15 | 12:0_16:0	0.125988543161882		PC	2	NA	28	0	13.15	NA	12	0	NA	16	0	NA	NA	NA	FALSE	12:0_16:0	8.291437679856704e-5
JWL0201	PC 29:1_10.25	0.03438822694282718		PC	2	NA	29	1	10.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	29:1	2.263125149807166e-5
JWL0201	PC 30:0_16.19	0.02782872661533786		PC	2	NA	30	0	16.19	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	30:0	1.831437578767513e-5
JWL0201	PC 30:5_14.05	0.04662192376474028		PC	2	NA	30	5	14.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	30:5	3.0682375215156026e-5
JWL0201	PC 31:5_15.09	0.06041919348923637		PC	2	NA	31	5	15.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	31:5	3.9762502598313563e-5
JWL0201	PC 32:1_15.53	0.059196199094618394		PC	2	NA	32	1	15.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	32:1	3.8957637207278783e-5
JWL0201	PC 32:1_17.78	0.051032730979845065		PC	2	NA	32	1	17.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	32:1	3.3585173535072506e-5
JWL0201	PC 32:3_23.55	0.03902199318779429		PC	2	NA	32	3	23.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	32:3	2.5680781485397734e-5
JWL0201	PC 32:5_17.85	0.07601820497863522		PC	2	NA	32	5	17.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	32:5	5.002837506463245e-5
JWL0201	PC 32:5_19.28	0.04468854266642183		PC	2	NA	32	5	19.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	32:5	2.940999691108096e-5
JWL0201	PC 33:2_14.82 | 16:1_17:1	0.08269118168326668		PC	2	NA	33	2	14.82	NA	16	1	NA	17	1	NA	NA	NA	FALSE	16:1_17:1	5.441993076462145e-5
JWL0201	PC 33:2_20.44	0.052059684052799295		PC	2	NA	33	2	20.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	33:2	3.4261022083745425e-5
JWL0201	PC 34:3_17.30	0.04072266717831693		PC	2	NA	34	3	17.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	34:3	2.6800012810110595e-5
JWL0201	PC 35:2_18.48	0.07681807662088616		PC	2	NA	35	2	18.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	35:2	5.055477895082445e-5
JWL0201	PC 36:2_22.48 | 18:1/18:1	0.048430507758357826		PC	2	NA	36	2	22.48	NA	18	1	NA	18	1	NA	NA	NA	TRUE	18:1/18:1	3.187262324053388e-5
JWL0201	PC 36:8_18.91	0.0299997920812854		PC	2	NA	36	8	18.91	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	36:8	1.97431766578196e-5
JWL0201	PC 37:7_21.30	0.03132149975154709		PC	2	NA	37	7	21.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	37:7	2.0613006287080605e-5
JWL0201	PC 37:8_25.30	0.02855099015251226		PC	2	NA	37	8	25.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	37:8	1.878970496893407e-5
JWL0201	PC 38:3_23.55	0.03378567443502694		PC	2	NA	38	3	23.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	38:3	2.223470539618939e-5
JWL0201	PC 38:3_24.21	0.06410482404493308		PC	2	NA	38	3	24.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	38:3	4.2188054580787837e-5
JWL0201	PC 38:8_22.82	0.039024890365341264		PC	2	NA	38	8	22.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	38:8	2.5682688148216062e-5
JWL0201	PC 38:10_20.03	0.17024150943642813		PC	2	NA	38	10	20.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	38:10	1.1203771633450766e-4
JWL0201	PC 38:10_21.17	0.0952963088629887		PC	2	NA	38	10	21.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	38:10	6.271549668151937e-5
JWL0201	PC 39:3_25.21	0.04997505781051071		PC	2	NA	39	3	25.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	39:3	3.288910776995573e-5
JWL0201	PC 39:10_15.16	0.02190599273653616		PC	2	NA	39	10	15.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	39:10	1.4416562731184615e-5
JWL0201	PC 39:10_22.50	0.05123185661932602		PC	2	NA	39	10	22.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	39:10	3.37162201992201e-5
