eid	fname	id	rab	struc	class	tails	hydrox	carbon	dbonds	rt	hydrsn1	carbsn1	dbonsn1	hydrsn2	carbsn2	dbonsn2	hydrsn3	carbsn3	dbonsn3	stereo	annot	frac_molar	sp	loc
7	uw_format_example.xlsx	CE 14:0	22.37	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.7526917900403768	unk2	intermed
7	uw_format_example.xlsx	CE 14:1	2.32	NA	CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.07806191117092866	unk2	intermed
7	uw_format_example.xlsx	CE 15:0	5.03	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.1692462987886945	unk2	intermed
8	uw_format_example.xlsx	CE 14:0	12.18	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.8523442967109868	unk2	rock
8	uw_format_example.xlsx	CE 15:0	2.11	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.14765570328901328	unk2	rock
18	uw_format_example.xlsx	CE 14:0	28.17	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.7908478382930937	unk1	intermed
18	uw_format_example.xlsx	CE 14:1	2.84	NA	CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.07973048848961256	unk1	intermed
18	uw_format_example.xlsx	CE 15:0	4.61	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.12942167321729364	unk1	intermed
20	uw_format_example.xlsx	CE 14:0	8.38	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.7716390423572744	unk1	intermed
20	uw_format_example.xlsx	CE 14:1	0.59	NA	CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.05432780847145487	unk1	intermed
20	uw_format_example.xlsx	CE 15:0	1.89	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.1740331491712707	unk1	intermed
22	uw_format_example.xlsx	CE 14:0	11.1	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.8031837916063675	unk1	hardplace
22	uw_format_example.xlsx	CE 14:1	0.6	NA	CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.04341534008683068	unk1	hardplace
22	uw_format_example.xlsx	CE 15:0	2.12	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.15340086830680175	unk1	hardplace
29	uw_format_example.xlsx	CE 14:0	40.53	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.8784135240572172	unk2	hardplace
29	uw_format_example.xlsx	CE 15:0	5.61	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.12158647594278284	unk2	hardplace
31	uw_format_example.xlsx	CE 14:0	14.2	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.7751091703056768	unk2	intermed
31	uw_format_example.xlsx	CE 15:0	4.12	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.2248908296943231	unk2	intermed
32	uw_format_example.xlsx	CE 14:0	4.68	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.7959183673469388	unk1	intermed
32	uw_format_example.xlsx	CE 14:1	0.28	NA	CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.04761904761904762	unk1	intermed
32	uw_format_example.xlsx	CE 15:0	0.92	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.1564625850340136	unk1	intermed
43	uw_format_example.xlsx	CE 14:0	14.16	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.7897378694924707	unk2	hardplace
43	uw_format_example.xlsx	CE 14:1	1.08	NA	CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.06023424428332404	unk2	hardplace
43	uw_format_example.xlsx	CE 15:0	2.69	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.15002788622420524	unk2	hardplace
44	uw_format_example.xlsx	CE 14:0	8.75	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.8131970260223048	unk2	rock
44	uw_format_example.xlsx	CE 14:1	0.65	NA	CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.0604089219330855	unk2	rock
44	uw_format_example.xlsx	CE 15:0	1.36	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.12639405204460968	unk2	rock
83	uw_format_example.xlsx	CE 14:0	14.62	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.8273910582908885	unk1	hardplace
83	uw_format_example.xlsx	CE 14:1	0.99	NA	CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.05602716468590833	unk1	hardplace
