eid	fname	id	rab	struc	class	tails	hydrox	carbon	dbonds	rt	hydrsn1	carbsn1	dbonsn1	hydrsn2	carbsn2	dbonsn2	hydrsn3	carbsn3	dbonsn3	stereo	annot	frac_molar
235	uw_format_example.xlsx	CE 14:0	27.53		CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.7895038715227989
235	uw_format_example.xlsx	CE 14:1	2.21		CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.06337826211643245
235	uw_format_example.xlsx	CE 15:0	5.13		CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.14711786636076854
488	uw_format_example.xlsx	CE 14:0	27.94		CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.8552188552188552
488	uw_format_example.xlsx	CE 14:1	1.35		CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.04132231404958678
488	uw_format_example.xlsx	CE 15:0	3.38		CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.103458830731558
329	uw_format_example.xlsx	CE 14:0	12.69		CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.8119001919385797
329	uw_format_example.xlsx	CE 15:0	2.94		CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.18809980806142035
306	uw_format_example.xlsx	CE 14:0	23.2		CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.7491120439134646
306	uw_format_example.xlsx	CE 14:1	3.06		CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.09880529544720698
306	uw_format_example.xlsx	CE 15:0	4.71		CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.15208266063932838
500	uw_format_example.xlsx	CE 14:0	21.36		CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.8482922954725973
500	uw_format_example.xlsx	CE 15:0	3.82		CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.1517077045274027
22	uw_format_example.xlsx	CE 14:0	11.1		CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.8031837916063675
22	uw_format_example.xlsx	CE 14:1	0.6		CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.04341534008683068
