	Acylcarnitine Profile (AC)																																																													
																																																														
	Data are expressed as normalized intensities and constitute relative abundances per mg tissue (relative to exactly measured internal standards).  																																																													
	The data can be used for direct comparison of individual metabolites between different samples as well as of different metabolites within the same sample.																																																													
	ND = not detected																																																													
																																																														
		Normalized Intensities  (UNIT = Intensity / mg tissue)																																																												
Sample ID		AC 2:0_1.10	AC 3:0_1.13	AC 4:0_1.13	AC 6:1_1.66	AC 8:1_1.71	AC 9:1_1.66	AC 9:1_1.91	AC 10:0_3.99	AC 12:0_4.54	AC 12:2_1.30	AC 13:0_4.86	AC 13:1_4.54	AC 13:2_3.52	AC 14:0_5.24	AC 14:1_4.82	AC 14:2_4.51	AC 14:2_5.42	AC 15:0_5.66	AC 15:1_5.17	AC 15:2_4.88	AC 16:0_6.19	AC 16:1_5.51	AC 16:2_5.13	AC 17:0_6.67	AC 17:1_5.94	AC 17:1_6.21	AC 17:2_5.28	AC 17:2_5.59	AC 18:0_7.11	AC 18:0_7.37	AC 18:1_6.44	AC 18:2_5.78	AC 18:2_6.13	AC 18:3_5.29	AC 19:0_6.94	AC 19:0_7.90	AC 19:1_6.96	AC 19:2_6.21	AC 19:2_6.54	AC 20:0_7.58	AC 20:0_8.66	AC 20:1_7.54	AC 20:2_6.74	AC 20:2_7.21	AC 20:3_6.09	AC 20:4_5.74	AC 20:5_5.26	AC 21:0_9.35	AC 21:1_4.28	AC 21:1_8.16	AC 21:2_7.38	AC 21:3_4.41	AC 21:3_10.03	AC 21:5_5.58	AC 22:0_10.08	AC 22:1_8.78	AC 22:2_7.91	AC 22:2_8.44	AC 22:5_5.95	AC 22:5_6.21	AC 22:6_5.66
JWL0157		ND	ND	ND	ND	ND	ND	0.00	0.01	0.08	ND	0.05	ND	ND	0.45	0.04	ND	ND	0.10	ND	ND	0.65	0.18	0.02	0.08	0.04	ND	ND	ND	0.03	0.10	0.75	0.07	0.01	0.02	ND	0.01	0.03	ND	ND	0.12	0.01	0.17	0.04	ND	0.01	0.07	0.44	0.00	0.01	0.01	0.00	ND	0.08	0.01	0.00	0.15	0.00	0.00	0.01	0.02	0.61
JWL0159		ND	ND	ND	ND	ND	ND	ND	0.01	0.19	ND	0.06	0.01	ND	0.94	0.07	ND	ND	0.14	0.05	0.02	1.07	0.27	0.03	0.15	0.06	0.01	0.01	0.00	0.17	0.42	1.69	0.14	0.01	0.05	0.02	0.05	0.12	0.00	0.00	14.17	ND	0.80	0.08	ND	0.02	0.11	0.84	0.00	0.01	0.06	0.00	ND	0.13	0.02	0.01	0.83	0.04	ND	0.03	0.02	1.08
JWL0166		ND	0.00	0.00	ND	0.00	ND	ND	0.02	0.18	ND	0.09	0.01	ND	2.71	0.18	0.00	0.00	0.28	0.05	0.01	1.65	0.45	0.03	0.11	0.05	0.01	ND	0.01	0.01	0.12	0.60	0.10	ND	0.06	0.01	0.00	0.01	ND	0.00	0.07	0.02	0.11	0.03	ND	0.02	0.15	1.60	0.00	ND	0.00	ND	0.01	0.07	0.03	0.01	0.14	0.00	0.00	0.09	0.02	1.41
JWL0167		0.00	0.00	0.00	ND	ND	ND	ND	0.00	0.02	0.00	0.02	0.00	ND	0.20	0.01	ND	ND	0.05	0.01	ND	0.19	0.02	0.02	0.03	0.01	0.00	ND	0.00	ND	0.06	0.07	ND	ND	ND	ND	0.00	ND	ND	ND	0.01	0.01	0.02	0.00	ND	ND	ND	0.05	0.00	ND	0.00	ND	ND	0.12	ND	0.00	0.02	ND	ND	ND	0.00	0.05
JWL0168		0.00	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.00	0.01	ND	ND	0.01	0.00	0.00	ND	0.03	0.01	ND	0.00	ND	ND	ND	ND	ND	0.00	0.04	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.01	0.00	ND	ND	0.01	0.07	ND	ND	ND	ND	ND	0.08	ND	ND	0.02	ND	ND	0.00	0.00	0.12
JWL0169		ND	ND	ND	ND	0.00	ND	0.00	ND	ND	ND	ND	ND	ND	ND	ND	0.00	ND	ND	ND	ND	ND	ND	ND	0.00	ND	ND	ND	ND	ND	0.00	ND	ND	ND	ND	0.00	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.04	0.13	ND	ND	ND	ND	ND	ND	ND	ND
JWL0170		0.00	ND	ND	ND	ND	ND	ND	0.00	0.01	ND	ND	ND	0.00	0.03	0.00	ND	ND	0.01	0.00	0.00	0.08	0.05	0.00	0.01	0.01	ND	0.00	0.00	0.00	0.02	0.21	0.01	0.01	ND	ND	ND	0.00	ND	ND	ND	ND	0.10	0.00	0.00	ND	0.04	0.29	ND	ND	0.00	ND	ND	0.06	0.00	ND	0.05	ND	ND	0.01	0.01	0.57
JWL0171		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.08	0.01	ND	0.00	0.03	0.01	ND	0.12	0.01	ND	0.00	ND	ND	ND	ND	ND	0.02	0.03	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.01	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.08	ND	ND	0.00	ND	ND	ND	ND	ND
JWL0172		0.00	ND	ND	ND	ND	ND	0.00	ND	ND	0.01	0.01	ND	0.00	0.07	0.01	ND	0.00	0.03	0.01	0.04	0.08	0.03	0.00	0.01	0.01	0.00	ND	0.00	0.00	0.02	0.14	0.01	ND	0.00	ND	0.00	0.01	ND	ND	0.39	ND	0.07	0.00	ND	ND	0.02	0.31	ND	0.00	0.00	ND	ND	0.09	ND	ND	0.03	0.00	ND	0.01	0.01	0.77
JWL0173		0.00	0.00	0.00	ND	0.00	0.00	ND	ND	0.00	ND	0.01	ND	0.00	0.36	0.01	0.00	0.00	0.14	0.01	0.00	0.43	0.10	0.01	0.08	0.01	0.00	ND	0.01	ND	0.04	0.14	0.01	ND	0.00	ND	0.00	0.00	ND	ND	ND	0.00	0.14	0.00	ND	ND	0.01	0.07	ND	0.00	0.00	ND	0.00	0.08	0.00	ND	0.05	0.00	ND	0.00	0.00	0.06
JWL0174		ND	ND	ND	0.00	ND	ND	0.00	ND	0.00	ND	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.01	0.00	0.00	0.23	0.06	0.00	0.02	0.01	ND	0.00	0.01	0.00	0.07	0.73	0.01	ND	0.00	0.01	0.00	0.01	ND	0.00	0.03	0.01	0.16	0.01	ND	ND	0.03	0.10	0.00	ND	0.02	0.00	0.01	0.07	0.00	0.00	0.43	0.00	ND	0.01	0.01	0.35
JWL0175		ND	ND	ND	0.00	0.00	0.00	ND	ND	ND	0.00	ND	0.00	ND	0.04	0.00	0.00	ND	0.01	0.00	0.00	0.24	0.05	0.00	0.01	0.01	ND	0.00	0.01	0.00	0.01	0.34	0.00	0.01	0.01	0.01	ND	0.01	ND	0.00	ND	ND	0.06	0.01	ND	ND	0.03	0.12	ND	ND	0.00	ND	0.01	0.07	0.00	ND	0.09	ND	ND	0.02	0.00	0.15
JWL0176		0.01	0.00	0.00	0.00	ND	0.00	ND	ND	0.00	0.00	ND	ND	ND	0.02	0.00	ND	0.00	0.01	ND	0.00	0.06	0.01	0.00	0.01	0.00	ND	ND	0.00	0.00	0.02	0.09	0.00	0.00	ND	ND	0.00	0.01	0.00	0.00	ND	0.00	0.13	0.01	0.00	ND	0.03	0.06	ND	0.00	0.01	0.00	ND	0.08	0.00	0.00	0.16	0.00	0.00	0.01	0.00	0.05
JWL0177		0.00	0.00	0.00	0.00	0.00	0.00	ND	ND	ND	ND	ND	ND	ND	0.01	0.00	ND	ND	0.00	ND	0.00	0.02	0.01	0.00	0.00	0.00	ND	ND	ND	ND	0.01	0.03	0.00	0.00	ND	ND	ND	0.00	ND	ND	ND	0.00	0.05	0.01	0.00	ND	0.01	0.01	ND	0.00	0.00	ND	ND	0.05	ND	ND	0.06	0.00	ND	0.01	ND	0.01
JWL0178		0.00	0.00	0.00	0.00	0.00	ND	0.00	ND	ND	ND	ND	ND	ND	0.01	0.00	ND	ND	0.00	ND	0.00	0.04	0.01	0.00	0.00	0.00	ND	ND	ND	ND	0.01	0.05	0.00	ND	ND	ND	ND	0.01	ND	0.00	ND	ND	0.06	0.01	ND	ND	0.04	0.16	ND	ND	0.00	ND	0.00	0.05	0.00	ND	0.04	ND	ND	0.03	ND	0.03
JWL0179		0.00	0.00	0.00	0.00	0.00	ND	ND	ND	0.01	0.00	0.00	ND	ND	0.05	0.00	0.00	0.00	0.01	0.00	0.00	0.06	0.03	0.01	0.01	0.00	0.00	ND	0.00	ND	0.01	0.12	0.01	0.00	0.01	ND	0.00	0.01	0.00	0.00	ND	0.00	0.08	0.02	ND	0.01	0.11	0.39	ND	0.00	0.00	0.00	0.01	0.02	0.01	0.00	0.04	0.00	0.00	0.05	0.00	0.19
JWL0180		0.01	0.00	0.00	ND	0.00	0.00	ND	0.00	0.00	0.00	0.00	ND	ND	0.11	0.01	0.00	0.00	0.02	0.00	0.01	0.24	0.07	0.01	0.06	0.01	0.00	ND	0.00	ND	0.10	0.50	0.02	0.01	0.01	ND	0.01	0.03	0.00	ND	ND	0.00	0.42	0.07	0.01	0.02	0.12	0.38	0.00	ND	0.02	0.00	0.00	0.02	0.01	0.00	0.20	0.01	0.01	0.07	0.01	0.53
