	Cholesterol Ester Profile (CE)																																		
	Data are expressed as normalized intensities and constitute relative abundances per mg tissue (relative to exactly measured internal standards).  																																		
	The data can be used for direct comparison of individual metabolites between different samples as well as of different metabolites within the same sample.																																		
	ND = not detected																																		
																																			
																																			
		Normalized Intensities  (UNIT = Intensity / mg tissue)																																	
Sample ID		CE 12:0_29.14	CE 17:0_30.62	CE 17:1_30.08	CE 18:0_30.83	CE 18:1_30.33	CE 18:2_30.05	CE 18:3_29.48	CE 19:1_30.58	CE 19:2_30.35	CE 20:2_28.53	CE 20:2_30.64	CE 20:3_29.89	CE 20:4_29.50	CE 20:5_26.55	CE 20:5_29.03	CE 20:5_30.80	CE 21:1_31.16	CE 21:2_30.62	CE 22:2_30.87	CE 22:3_28.07	CE 22:3_30.51	CE 22:4_28.19	CE 22:5_29.53	CE 22:5_31.41	CE 22:6_30.96	CE 23:1_31.76	CE 23:2_31.19	CE 24:2_31.48	CE 24:4_30.76	CE 25:2_31.78	CE 26:2_31.71	CE 26:2_32.10	CE 26:4_29.35	CE 26:5_28.80
JWL0157		ND	0.18	ND	ND	0.26	ND	ND	ND	ND	ND	0.11	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.46	ND	ND	ND	ND	ND	ND	ND	0.30	ND
JWL0159		ND	0.75	ND	ND	0.98	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.93	ND	ND	ND	ND	ND	ND	ND	9.22	1.85
JWL0166		6.64	7.87	ND	0.77	4.83	ND	4.83	ND	ND	ND	ND	0.55	ND	ND	0.48	ND	20.05	ND	0.81	ND	0.69	ND	ND	ND	2.13	ND	ND	ND	1.36	ND	ND	0.34	ND	ND
JWL0167		ND	0.44	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	41.29	ND	ND	ND	0.12	0.06	ND	ND	39.77	303.99	ND	ND	ND	ND	0.36	ND	ND	ND	0.70
JWL0168		ND	ND	ND	ND	ND	0.94	ND	ND	10.61	1.20	ND	ND	0.19	0.82	ND	0.81	0.55	4.45	0.78	0.62	ND	2.95	0.33	ND	8.30	0.35	3.42	ND	ND	5.17	ND	ND	ND	1.18
JWL0169		ND	ND	ND	ND	78.03	ND	48.60	ND	ND	ND	45.23	75.39	58.23	ND	35.27	ND	89.65	ND	19.48	ND	6.51	ND	ND	ND	11.88	50.52	ND	25.87	ND	ND	48.97	16.74	ND	ND
JWL0170		ND	ND	ND	2.40	12.65	ND	ND	ND	ND	ND	13.16	6.47	2.73	ND	1.33	ND	ND	ND	ND	ND	2.50	4.98	3.31	ND	4.52	ND	ND	7.85	0.57	ND	6.18	ND	ND	ND
JWL0171		ND	ND	ND	0.59	1.44	ND	ND	ND	ND	ND	1.57	ND	ND	ND	ND	ND	ND	ND	1.62	ND	0.22	ND	ND	ND	2.45	ND	ND	1.54	0.49	ND	ND	1.72	ND	2.60
JWL0172		ND	ND	ND	ND	19.93	ND	49.75	ND	ND	ND	19.99	21.08	15.91	ND	9.25	ND	38.98	ND	14.95	ND	7.92	14.03	14.87	ND	ND	32.61	ND	12.76	3.16	ND	22.70	7.74	ND	ND
JWL0173		4.28	16.50	ND	ND	6.52	13.54	ND	ND	ND	ND	5.00	0.68	ND	ND	0.27	ND	ND	ND	1.12	0.96	ND	ND	ND	ND	ND	ND	ND	1.75	0.35	ND	1.38	1.71	ND	ND
JWL0174		ND	ND	10.62	ND	ND	ND	ND	9.22	29.32	1.05	ND	ND	ND	ND	ND	ND	ND	23.30	ND	ND	ND	ND	ND	5.15	125.02	ND	14.86	ND	ND	21.61	ND	ND	ND	ND
JWL0175		ND	ND	35.22	ND	ND	ND	9.63	36.68	15.90	ND	ND	1.53	ND	ND	ND	ND	ND	ND	8.77	3.75	ND	ND	ND	ND	ND	ND	52.14	ND	ND	ND	7.40	ND	ND	0.85
JWL0176		1.89	ND	13.85	ND	ND	ND	ND	9.00	10.23	1.72	ND	ND	ND	10.65	ND	1.33	3.82	10.62	2.55	2.53	ND	ND	ND	16.79	72.34	2.88	4.72	ND	ND	6.45	ND	ND	ND	ND
JWL0177		1.99	ND	13.73	ND	ND	6.92	1.99	1.33	ND	1.95	0.39	ND	1.06	ND	ND	ND	2.96	5.83	0.92	ND	ND	ND	0.74	2.64	38.24	3.65	8.91	ND	ND	9.28	1.85	ND	5.09	ND
JWL0178		3.46	ND	ND	ND	ND	9.66	ND	6.61	ND	ND	ND	ND	1.37	ND	0.54	ND	5.55	ND	ND	ND	ND	ND	ND	4.25	50.52	3.60	11.40	ND	ND	4.93	ND	ND	ND	ND
