	Phosphatidylglycerol Profile;  PG																																															
	Data are expressed as normalized intensities and constitute relative abundances per mg sample (relative to exactly measured internal standards).  																																															
	The data can be used for direct comparison of individual metabolites between different samples as well as of different metabolites within the same sample.																																															
	ND = not detected																																															
																																																
																																																
		Normalized Intensities  (UNIT = Intensity / mg sample)																																														
Sample ID		PG 28:0_11.81 | 14:0/14:0	PG 28:0_11.81 | 16:0/12:0	PG 28:1_10.51	PG 29:0_12.91	PG 29:1_11.44 | 12:0/17:1	PG 30:0_14.22 | 16:0/14:0	PG 30:1_12.21 | 14:0/16:1	PG 30:1_12.21 | 12:0/18:1	PG 30:1_12.51 | 16:0/14:1	PG 30:3_9.15	PG 31:0_15.78 | 16:0/15:0	PG 31:1_13.64 | 14:0/17:1	PG 31:1_13.64 | 12:0/19:1	PG 31:3_7.79	PG 32:0_17.71 | 16:0/16:0	PG 32:1_14.81 | 16:0/16:1	PG 32:1_14.81 | 14:0_18:1	PG 32:2_12.63 | 16:1/16:1	PG 33:1_16.85 | 16:0/17:1	PG 33:2_14.14 | 16:1_17:1	PG 33:2_14.41 | 16:1/17:1	PG 34:0_21.85 | 16:0_18:0	PG 34:1_18.23 | 16:0/18:1	PG 34:2_15.19 | 18:1/16:1	PG 34:2_16.08 | 17:1/17:1	PG 35:1_20.82 | 16:0/19:1	PG 35:2_17.37 | 18:1/17:1	PG 35:2_17.37 | 16:1_19:1	PG 35:2_17.62 | 19:1/16:1	PG 35:2_17.62 | 18:1/17:1	PG 35:2_18.89	PG 36:0_25.39	PG 36:1_22.32 | 18:0/18:1	PG 36:1_22.32 | 16:0_20:1	PG 36:1_22.82 | 16:0/20:1	PG 36:1_22.82 | 17:0/19:1	PG 36:2_18.73 | 18:1/18:1	PG 36:2_20.03 | 17:1_19:1	PG 37:1_24.73 | 18:0/19:1	PG 37:2_21.32 | 18:1_19:1	PG 37:3_20.19 | 19:1/18:2	PG 38:2_23.82 | 19:1/19:1	PG 38:10_4.19	PG 39:2_25.35	PG 39:3_22.78	PG 40:3_25.39	PG 40:6_15.67
JWL0201		1.60	ND	0.03	0.04	0.05	13.90	0.95	ND	0.31	ND	0.09	1.43	ND	ND	5.57	8.80	ND	0.08	50.18	0.12	0.05	0.50	6.68	0.24	1.49	52.93	1.74	ND	0.12	0.02	ND	0.02	0.34	0.17	0.17	0.13	0.90	12.52	2.93	3.32	ND	13.78	ND	0.03	ND	0.06	0.02
JWL0202		0.99	ND	0.02	0.04	0.04	12.09	0.56	ND	0.24	ND	0.10	0.97	ND	ND	5.43	8.53	ND	0.07	29.08	0.08	0.04	0.43	6.12	0.22	1.21	42.08	1.26	0.15	0.10	0.02	ND	0.02	0.26	0.13	0.13	0.09	0.73	11.18	2.20	2.78	ND	11.40	0.18	0.02	ND	ND	0.02
