	Sphingomyelin Profile;  SM																																																																														
	Data are expressed as normalized intensities and constitute relative abundances per mg sample (relative to exactly measured internal standards).  																																																																														
	The data can be used for direct comparison of individual metabolites between different samples as well as of different metabolites within the same sample.																																																																														
	ND = not detected																																																																														
																																																																															
																																																																															
		Normalized Intensities  (UNIT = Intensity / mg sample)																																																																													
Sample ID		SM d21:1_6.79	SM d21:1_11.71	SM d23:1_14.32	SM t25:1_10.15	SM d27:0_30.46	SM t27:0_29.85	SM t27:2_10.44	SM d28:0_30.92	SM t28:0_30.28	SM t28:1_12.91	SM t28:2_15.83	SM t29:0_30.75	SM d29:1_15.83	SM d29:3_29.67	SM t30:0_31.25	SM t30:1_15.80	SM t30:1_30.48	SM t30:2_19.82	SM d30:3_30.12	SM t30:3_16.51	SM t31:0_26.55	SM t31:1_30.96	SM d31:2_16.51	SM d31:3_9.68	SM d31:3_14.02	SM d31:3_15.33	SM d31:3_30.37	SM d31:3_30.64	SM t31:3_18.87	SM d32:1_32.17	SM t32:1_31.44	SM d32:3_17.53	SM d32:3_31.10	SM t32:3_15.76	SM t32:3_20.28	SM t32:4_16.91	SM t32:4_18.01	SM t33:0_27.73	SM t33:1_31.96	SM d33:3_21.37	SM d33:3_31.58	SM t33:3_22.82	SM d33:4_15.74	SM d33:4_30.42	SM d33:4_30.85	SM t33:4_19.46	SM t34:3_18.89	SM d34:4_16.35	SM d34:4_31.32	SM t34:4_17.44	SM t34:4_20.71	SM t34:4_21.98	SM t35:1_25.39	SM d35:4_19.39	SM d35:4_31.80	SM t35:4_23.21	SM t35:5_20.03	SM d36:3_26.53	SM t36:7_22.03	SM d37:5_15.00	SM t37:6_4.20	SM t37:7_19.60	SM t37:7_24.60	SM t38:3_25.35	SM d38:6_15.40	SM d38:6_15.72	SM d38:7_18.23	SM t38:7_19.62	SM t39:4_25.39	SM t39:4_26.39	SM t40:4_25.69	SM d41:7_25.71	SM t43:5_28.17	SM t44:6_26.12	SM t46:4_27.94	SM t47:3_28.51	SM t47:4_28.12	SM t48:2_28.42
JWL0201		0.02	0.02	ND	0.04	ND	0.19	ND	ND	0.59	ND	ND	0.41	ND	0.04	0.02	ND	0.76	ND	0.95	ND	0.07	1.85	ND	ND	ND	ND	ND	2.08	ND	ND	2.23	ND	2.81	ND	ND	ND	ND	ND	0.06	ND	0.25	ND	ND	ND	0.16	ND	ND	0.03	0.59	ND	ND	ND	0.04	ND	0.45	ND	ND	0.23	0.24	0.02	0.19	ND	0.02	0.06	ND	ND	ND	ND	0.12	ND	0.08	0.03	0.04	ND	ND	ND	ND	0.47
JWL0202		0.02	0.06	0.02	0.02	ND	0.18	0.03	ND	0.65	ND	ND	0.42	ND	0.03	0.02	ND	0.63	ND	1.01	ND	0.09	1.65	ND	ND	ND	ND	ND	2.28	ND	ND	2.07	ND	2.63	ND	ND	ND	ND	0.04	0.05	ND	0.21	ND	ND	ND	0.11	ND	ND	0.04	0.42	0.02	ND	ND	0.04	ND	0.34	ND	ND	0.28	0.19	ND	ND	0.02	0.03	0.05	ND	ND	ND	ND	ND	ND	0.08	0.02	0.05	0.05	ND	ND	ND	ND
